Gene.symbol,x axis,y axis,Unnamed: 3,Gene.symbol.1,x axis.1,y axis.1,Gene.symbol.2,x axis.2,y axis.2,Unnamed: 10,Gene.symbol.3,x axis.3,y axis.3,Unnamed: 14,Gene.symbol.4,x axis.4,y axis.4,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
A1CF,0.543695567651633,3.3811990668740277,,AGRN,0.7730340606705695,6.723932943054817,A1BG,0.44403514938488575,3.894982425307557,,AAGAB,0.27317884780739465,3.705766122098023,,AAAS,0.21484971098265895,4.1221387283237,,,Cirrhotic,Training
