Gene.symbol,x axis,y axis,Unnamed: 3,Gene.symbol.1,x axis.1,y axis.1,Gene.symbol.2,x axis.2,y axis.2,Unnamed: 10,Gene.symbol.3,x axis.3,y axis.3,Unnamed: 14,Gene.symbol.4,x axis.4,y axis.4,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
DTL,3.335,7.079,,ATP5ME,-0.444,2.27,AGMAT,-0.674,3.915,,ANAPC16,-0.701,3.357,,APOL3,0.176,2.714,,,Cirrhotic,Training
NMRAL1P1,3.329,7.091,,ATP5MK,-0.389,2.211,AGMO,-0.664,3.043,,ANAPC4,0.667,4.605,,APOL6,0.734,3.493,,,Cirrhotic,Training
ZWINT,3.326,5.609,,ATP5PB,-0.396,3.205,AGPAT1,-0.163,3.471,,ANAPC5,-0.976,3.299,,APOO,0.3,3.08,,,Cirrhotic,Training
SOX9,3.324,4.375,,ATP5PF,-0.845,6.777,AGPAT3,0.258,2.318,,ANGPTL8,1.792,4.373,,AQP8,0.601,3.449,,,Cirrhotic,Training
UBE2C,3.305,6.059,,ATP6V1C2,0.29,1.438,AGRN,0.422,3.204,,ANKIB1,0.71,3.038,,ARAP1,0.24,3.966,,,Cirrhotic,Training
MELK,3.299,8.706,,ATP8B1-AS1,0.937,12.422,AGTRAP,0.337,3.368,,ANKRD27,0.361,2.952,,ARF1,0.297,3.52,,,Cirrhotic,Training
SLC35F6///CENPA,3.29,9.811,,ATP8B2,1.04,5.648,AHCTF1,-0.477,6.366,,ANKRD29,0.801,3.25,,ARFGEF1,0.344,2.964,,,Cirrhotic,Training
MIR452///MIR224///GABRE,3.211,5.603,,ATPAF1,-0.702,4.953,AHCY,-0.592,3.121,,ANKRD44,1.014,2.897,,ARFGEF3,0.166,3.038,,,Cirrhotic,Training
KIAA0101,3.209,6.305,,ATR,0.683,11.61,AHNAK,-0.893,2.981,,ANKS4B,-0.89,3.192,,ARFIP2,0.154,2.756,,,Cirrhotic,Training
AGR2,3.205,3.317,,AUNIP,-0.592,4.136,AHNAK2,-0.196,3.69,,ANLN,1.438,3.499,,ARFRP1,0.264,3.001,,,Cirrhotic,Training
TRAF5,3.201,7.243,,AURKAIP1,-0.666,5.145,AHR,-0.337,3.491,,ANO10,0.76,4.322,,ARHGAP15,-0.975,6.397,,,Cirrhotic,Training
PRR11,3.2,6.194,,AURKB,3.555,21.986,AHSA2,0.299,2.248,,ANO6,-0.899,3.046,,ARHGAP19,-0.624,3.755,,,Cirrhotic,Training
CRNDE,3.195,5.271,,B3GALNT2,1.184,18.108,AIF1L,0.29,4.074,,ANOS1,1.201,3.027,,ARHGAP30,-0.339,3.314,,,Cirrhotic,Training
GAGE3,3.194,3.269,,B3GNT3,2.048,3.531,AIFM3,0.228,4.617,,ANTXR2,-0.632,3.422,,ARHGAP4,-0.468,3.378,,,Cirrhotic,Training
MAD2L1,3.17,4.717,,B4GALNT4,3.377,6.688,APOBEC3G,0.447,2.274,,AOAH,-0.552,3.145,,ARHGAP44,-0.369,3.322,,,Cirrhotic,Training
MUC13,3.165,3.722,,B4GALT1,-0.656,3.469,APOC2,0.383,3.017,,AP2A1,0.428,2.96,,ARHGAP9,-0.582,4.306,,,Cirrhotic,Training
KIF14,3.16,9.407,,BABAM2-AS1,-0.928,8.211,APOL2,0.917,5.763,,AP3M2,0.982,3.205,,ARHGDIA,0.35,3.158,,,Cirrhotic,Training
TPX2,3.151,5.815,,BAG6,0.259,1.401,APOL3,0.999,4.701,,AP4E1,0.518,2.957,,ARHGEF10L,0.332,5.668,,,Cirrhotic,Training
FAM3B,3.148,4.377,,BARD1,2.009,21.239,APOOL,-0.297,3.108,,AP5S1,0.544,3.843,,ARHGEF11,0.293,3.537,,,Cirrhotic,Training
AURKA,3.128,10.022,,BCAN-AS1,3.786,12.083,APPBP2,0.206,3.177,,APBB3,1.223,5.512,,ARHGEF6,-0.587,3.521,,,Cirrhotic,Training
CAP2,3.123,10.195,,BCAT2,1.099,3.944,APRT,0.366,3.488,,API5,-0.941,4.434,,ARID4A,-0.246,3.122,,,Cirrhotic,Training
